ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
103/07/21,"58,994,337","7,298,292,910",124.00,124.50,122.50,123.50, 0.00,"15,070"
103/07/22,"53,307,488","6,611,629,704",123.50,125.00,122.50,124.50,+1.00,"12,061"
103/07/24,"66,041,379","8,233,198,975",124.50,125.00,124.00,125.00,+0.50,"12,534"
103/07/25,"31,609,284","3,901,955,314",124.50,125.00,122.50,123.00,-2.00,"11,359"
103/07/28,"43,514,580","5,296,514,760",122.00,122.50,121.00,121.50,-1.50,"13,121"
103/07/29,"40,749,556","5,009,947,804",122.50,124.00,122.00,124.00,+2.50,"11,381"
103/07/30,"32,428,969","4,031,742,597",123.50,125.00,123.00,124.50,+0.50,"7,029"
103/07/31,"44,806,071","5,461,570,662",124.00,124.00,121.00,121.00,-3.50,"13,163"
103/08/01,"61,873,796","7,431,852,976",120.00,121.00,119.50,120.00,-1.00,"13,006"
103/08/04,"39,730,078","4,849,122,094",120.00,123.50,120.00,123.50,+3.50,"8,471"
103/08/05,"61,536,941","7,427,621,354",122.50,122.50,119.50,119.50,-4.00,"15,190"
103/08/06,"38,043,400","4,574,500,402",119.00,121.50,119.00,120.50,+1.00,"9,762"
103/08/07,"30,079,734","3,630,553,139",120.50,121.50,119.50,121.50,+1.00,"8,143"
103/08/08,"35,170,150","4,226,147,039",120.50,121.00,119.50,120.50,-1.00,"7,307"
103/08/11,"42,993,969","5,176,984,237",120.00,121.00,119.50,120.50, 0.00,"10,623"
103/08/12,"32,278,863","3,916,887,825",121.00,122.00,120.50,121.50,+1.00,"7,524"
103/08/13,"39,837,469","4,865,692,921",121.00,123.50,120.50,122.50,+1.00,"8,735"
103/08/14,"32,955,917","4,076,947,208",123.50,124.00,123.00,124.00,+1.50,"9,499"
103/08/15,"19,189,066","2,379,577,684",124.50,125.00,123.00,124.00, 0.00,"4,823"
103/08/18,"14,766,724","1,822,155,852",124.00,124.00,122.50,123.00,-1.00,"3,958"
103/08/19,"31,922,961","3,971,298,664",124.00,125.00,123.50,124.00,+1.00,"8,062"
103/08/20,"28,975,007","3,630,457,375",125.00,125.50,124.50,125.50,+1.50,"9,137"
103/08/21,"23,089,886","2,874,689,300",126.00,126.00,124.00,124.50,-1.00,"7,165"
103/08/22,"42,775,096","5,361,134,500",124.50,126.00,123.50,125.50,+1.00,"10,719"
103/08/25,"21,107,047","2,644,467,685",125.50,126.00,125.00,125.00,-0.50,"5,152"
103/08/26,"30,428,415","3,799,853,140",125.00,125.50,124.00,124.50,-0.50,"6,140"
103/08/27,"36,839,048","4,624,363,500",125.50,126.00,124.50,125.50,+1.00,"8,829"
103/08/28,"21,759,522","2,719,379,450",126.00,126.00,124.50,125.00,-0.50,"5,251"
103/08/29,"28,358,752","3,524,840,748",124.50,125.00,124.00,124.00,-1.00,"4,468"
103/09/01,"37,523,903","4,781,100,964",125.00,128.50,125.00,128.50,+4.50,"13,072"
103/09/02,"20,057,329","2,537,914,440",128.00,128.00,125.50,126.00,-2.50,"6,797"
103/09/03,"24,642,146","3,130,801,079",127.00,128.00,125.50,128.00,+2.00,"7,148"
103/09/04,"22,110,294","2,807,139,114",128.00,128.00,126.00,127.50,-0.50,"6,492"
103/09/05,"20,128,089","2,547,458,803",128.50,128.50,125.50,127.00,-0.50,"6,377"
103/09/09,"24,359,374","3,094,467,478",127.50,127.50,126.50,127.00, 0.00,"5,122"
103/09/10,"29,718,910","3,704,045,310",126.00,126.00,124.00,125.00,-2.00,"9,929"
103/09/11,"24,328,911","3,053,093,835",126.00,126.00,125.00,125.00, 0.00,"9,292"
103/09/12,"20,299,517","2,511,970,309",124.50,125.00,123.00,123.00,-2.00,"7,012"
103/09/15,"19,643,901","2,412,393,245",122.50,123.50,122.00,123.50,+0.50,"5,926"
103/09/16,"19,248,402","2,362,531,446",123.00,123.00,122.00,122.50,-1.00,"4,550"
103/09/17,"24,018,511","2,981,376,096",123.50,125.00,123.00,124.50,+2.00,"6,056"
103/09/18,"14,791,473","1,842,073,367",124.50,125.00,123.50,125.00,+0.50,"3,768"
103/09/19,"30,781,855","3,855,838,875",125.50,126.00,125.00,125.00, 0.00,"6,541"
103/09/22,"40,658,970","4,980,563,150",124.00,124.00,122.00,122.00,-3.00,"12,386"
103/09/23,"16,208,733","1,988,554,659",123.00,123.50,122.00,122.50,+0.50,"4,520"
103/09/24,"28,552,866","3,506,255,498",122.00,124.00,122.00,123.00,+0.50,"8,362"
103/09/25,"23,840,728","2,918,138,416",123.00,124.00,121.50,122.00,-1.00,"7,472"
103/09/26,"25,408,337","3,076,869,614",121.00,121.50,120.50,121.00,-1.00,"7,565"
103/09/29,"55,071,604","6,646,680,084",122.00,122.00,120.00,120.50,-0.50,"8,787"
103/09/30,"52,027,003","6,244,964,032",120.00,121.00,119.00,120.00,-0.50,"10,098"
103/10/01,"42,581,377","5,158,093,766",120.00,122.00,120.00,121.50,+1.50,"10,354"
103/10/02,"30,795,615","3,731,056,693",121.00,122.50,120.50,121.00,-0.50,"7,962"
103/10/03,"52,042,943","6,451,706,432",122.50,125.00,122.00,124.50,+3.50,"13,294"
103/10/06,"39,292,993","4,917,395,077",125.00,126.00,124.00,126.00,+1.50,"8,484"
103/10/07,"40,188,171","5,008,511,591",125.00,125.50,123.50,125.00,-1.00,"9,286"
103/10/08,"30,938,590","3,822,790,343",123.50,125.00,122.50,122.50,-2.50,"7,052"
103/10/09,"37,115,519","4,618,115,675",124.00,125.00,123.50,125.00,+2.50,"8,511"
103/10/13,"77,985,231","9,387,511,086",119.00,121.50,118.00,120.50,-4.50,"17,422"
103/10/14,"31,887,790","3,860,053,450",120.00,121.50,119.50,121.00,+0.50,"7,721"
103/10/15,"50,496,268","6,152,445,530",121.50,123.00,121.00,121.50,+0.50,"8,865"
103/10/16,"46,431,478","5,646,852,831",121.50,124.00,120.00,121.50, 0.00,"10,408"
103/10/17,"92,077,567","11,471,479,741",125.00,125.50,123.50,123.50,+2.00,"17,100"
103/10/20,"38,619,120","4,836,985,013",125.00,126.00,124.50,126.00,+2.50,"10,285"
103/10/21,"25,647,836","3,212,361,500",126.00,126.00,124.50,125.00,-1.00,"5,980"
103/10/22,"65,855,978","8,448,819,662",127.50,129.00,127.50,129.00,+4.00,"18,767"
103/10/23,"28,085,000","3,592,328,456",128.00,128.50,127.50,127.50,-1.50,"7,546"
103/10/24,"42,161,680","5,309,444,319",127.00,127.50,125.00,125.50,-2.00,"11,207"
103/10/27,"25,145,300","3,198,861,200",126.50,128.00,126.50,128.00,+2.50,"6,666"
103/10/28,"35,018,669","4,502,178,132",129.00,129.50,127.50,128.00, 0.00,"9,193"
103/10/29,"34,860,584","4,492,215,211",129.00,129.50,128.00,129.00,+1.00,"9,425"
103/10/30,"35,723,762","4,573,685,036",128.50,129.00,127.00,128.50,-0.50,"6,368"
103/10/31,"42,413,458","5,477,556,934",128.00,130.50,127.50,130.50,+2.00,"8,496"
103/11/03,"45,307,093","5,946,034,891",132.00,132.50,130.50,131.00,+0.50,"9,263"
103/11/04,"32,566,058","4,280,472,598",132.00,132.00,131.00,132.00,+1.00,"8,649"
103/11/05,"22,638,263","2,980,749,040",131.50,132.00,131.00,132.00, 0.00,"6,894"
103/11/06,"28,559,948","3,771,103,320",132.50,132.50,131.50,132.00, 0.00,"7,600"
103/11/07,"17,385,452","2,278,727,212",131.50,131.50,130.50,131.00,-1.00,"4,984"
103/11/10,"43,174,974","5,768,165,266",132.50,134.50,132.00,134.50,+3.50,"14,569"
103/11/11,"20,484,607","2,745,359,989",135.00,135.00,133.00,134.00,-0.50,"7,515"
103/11/12,"27,434,390","3,631,228,480",134.50,134.50,131.50,132.00,-2.00,"7,901"
103/11/13,"25,055,094","3,348,488,504",133.50,134.50,132.50,134.00,+2.00,"6,661"
103/11/14,"24,361,474","3,273,177,648",134.00,135.00,133.50,135.00,+1.00,"6,351"
103/11/17,"24,772,760","3,304,356,080",135.00,135.50,132.50,133.00,-2.00,"6,380"
103/11/18,"43,227,312","5,724,652,806",134.00,134.50,131.00,131.50,-1.50,"7,505"
103/11/19,"71,400,310","9,665,049,850",133.00,136.50,132.50,136.00,+4.50,"16,907"
103/11/20,"44,216,108","6,111,534,904",137.50,139.00,137.00,139.00,+3.00,"14,450"
103/11/21,"30,621,113","4,227,656,494",139.50,139.50,137.50,138.50,-0.50,"10,190"
103/11/24,"33,408,878","4,638,792,664",140.00,140.50,138.00,138.50, 0.00,"9,025"
103/11/25,"42,940,855","5,962,095,805",138.50,140.00,138.50,139.00,+0.50,"9,531"
103/11/26,"23,201,396","3,216,868,544",138.50,139.00,138.00,139.00, 0.00,"5,372"
103/11/27,"26,580,345","3,738,733,402",140.00,142.00,140.00,140.00,+1.00,"9,496"
103/11/28,"36,077,308","5,080,693,933",139.00,141.50,139.00,141.50,+1.50,"9,303"
103/12/01,"50,115,832","7,018,698,480",139.00,142.00,138.50,140.00,-1.50,"10,157"
103/12/02,"54,781,433","7,590,847,994",139.50,139.50,137.50,137.50,-2.50,"10,491"
103/12/03,"40,184,369","5,545,743,422",137.50,139.00,136.50,138.00,+0.50,"8,120"
103/12/04,"28,276,455","3,935,004,245",139.00,140.00,138.50,139.00,+1.00,"5,776"
103/12/05,"29,431,871","4,053,430,541",138.50,139.50,137.00,137.50,-1.50,"9,981"
103/12/08,"19,854,469","2,733,903,222",138.00,138.50,137.00,138.00,+0.50,"6,184"
103/12/09,"31,926,886","4,410,027,018",138.00,139.00,137.50,138.00, 0.00,"6,676"
103/12/10,"39,845,261","5,453,042,098",138.00,139.00,136.00,136.00,-2.00,"10,748"
103/12/11,"41,669,260","5,634,712,500",135.00,136.00,134.50,134.50,-1.50,"9,443"
103/12/12,"31,504,393","4,253,680,055",135.00,136.00,134.50,135.00,+0.50,"7,465"
103/12/15,"45,196,692","6,123,590,832",134.50,136.50,134.50,136.00,+1.00,"8,533"
103/12/16,"41,273,420","5,519,760,280",134.50,135.50,133.00,133.00,-3.00,"10,345"
103/12/17,"84,670,250","11,100,215,420",133.00,133.00,130.00,130.50,-2.50,"18,863"
103/12/18,"51,896,344","6,846,354,408",132.00,133.00,131.00,131.50,+1.00,"11,210"
103/12/19,"44,591,655","6,082,343,984",134.50,138.00,134.00,138.00,+6.50,"15,558"
103/12/22,"34,995,859","4,843,397,632",137.50,140.00,137.00,138.50,+0.50,"9,339"
103/12/23,"19,157,682","2,646,448,245",139.00,140.00,137.00,137.50,-1.00,"6,678"
103/12/24,"16,722,021","2,300,669,398",136.00,138.00,136.00,138.00,+0.50,"4,405"
103/12/25,"7,392,192","1,015,532,329",137.00,138.00,137.00,137.50,-0.50,"1,860"
103/12/26,"13,183,543","1,817,851,477",138.00,139.00,137.00,139.00,+1.50,"3,404"
103/12/27,"4,823,202","666,171,960",139.00,139.00,137.50,138.50,-0.50,"1,195"
103/12/29,"35,075,381","4,920,594,840",138.00,141.00,138.00,141.00,+2.50,"11,085"
103/12/30,"23,590,171","3,300,430,060",141.00,141.50,139.00,140.00,-1.00,"7,579"
103/12/31,"18,351,769","2,570,413,160",139.00,141.00,139.00,141.00,+1.00,"5,953"
104/01/05,"32,214,177","4,459,516,134",140.50,140.50,137.50,139.50,-1.50,"9,377"
104/01/06,"67,649,997","9,104,346,055",137.50,137.50,133.00,133.50,-6.00,"26,240"
104/01/07,"43,886,007","5,887,797,145",133.50,135.00,133.50,134.00,+0.50,"14,735"
104/01/08,"42,551,468","5,839,710,584",136.50,138.00,136.00,138.00,+4.00,"12,327"
104/01/09,"61,920,268","8,308,394,250",135.00,135.50,133.00,134.00,-4.00,"24,470"
104/01/12,"30,402,705","4,031,933,265",132.50,133.50,132.00,132.00,-2.00,"11,823"
104/01/13,"38,093,830","5,032,758,490",131.00,133.00,130.50,132.50,+0.50,"12,537"
104/01/14,"49,447,397","6,480,574,787",132.50,133.00,130.00,130.00,-2.50,"18,536"
104/01/15,"40,996,781","5,409,019,683",131.50,133.00,131.50,131.50,+1.50,"10,987"
104/01/16,"129,035,714","17,798,427,458",140.00,140.00,136.00,137.00,+5.50,"33,344"
104/01/19,"50,175,501","6,946,057,848",138.50,139.50,137.50,139.00,+2.00,"15,694"
104/01/20,"33,795,629","4,668,853,302",139.00,139.00,137.50,138.00,-1.00,"10,489"
104/01/21,"77,292,890","10,851,391,010",139.50,141.00,139.50,141.00,+3.00,"22,304"
104/01/22,"45,654,028","6,420,329,920",141.50,142.00,139.50,140.00,-1.00,"12,880"
104/01/23,"82,359,856","11,860,880,764",142.50,145.00,142.50,145.00,+5.00,"24,817"
104/01/26,"46,941,337","6,773,046,328",145.50,145.50,143.50,145.00, 0.00,"12,366"
104/01/27,"53,362,680","7,766,942,038",145.50,147.00,144.50,147.00,+2.00,"13,505"
104/01/28,"48,373,268","7,070,390,708",146.50,147.00,145.50,146.50,-0.50,"13,048"
104/01/29,"36,887,636","5,304,459,221",144.00,145.00,143.00,143.50,-3.00,"10,970"
104/01/30,"44,413,182","6,309,920,080",145.00,145.50,141.00,141.00,-2.50,"12,509"
104/02/02,"30,382,755","4,310,814,470",140.50,143.00,140.50,142.50,+1.50,"7,265"
104/02/03,"27,234,908","3,911,596,752",143.00,144.50,142.00,144.50,+2.00,"7,438"
104/02/04,"43,152,252","6,270,013,358",144.50,146.50,144.00,146.00,+1.50,"10,725"
104/02/05,"25,327,809","3,661,740,425",145.50,146.00,143.50,145.50,-0.50,"8,827"
104/02/06,"28,668,194","4,131,250,622",145.50,145.50,143.00,143.00,-2.50,"10,068"
104/02/09,"26,650,627","3,790,983,534",143.00,143.50,141.50,142.00,-1.00,"7,095"
104/02/10,"33,452,346","4,760,519,217",142.00,143.00,141.50,142.50,+0.50,"8,287"
104/02/11,"71,429,251","10,550,756,946",146.00,149.00,146.00,148.00,+5.50,"21,683"
104/02/12,"35,027,816","5,193,362,537",149.50,149.50,147.50,148.50,+0.50,"10,815"
104/02/13,"38,571,667","5,752,407,636",148.50,150.00,148.00,148.50, 0.00,"13,408"
104/02/24,"74,443,659","11,211,962,367",149.00,152.00,148.50,151.00,+2.50,"17,976"
104/02/25,"48,326,782","7,425,359,928",152.50,154.50,152.50,154.50,+3.50,"13,778"
104/02/26,"58,406,927","8,838,206,759",153.50,154.00,150.50,150.50,-4.00,"16,129"
104/03/02,"41,706,868","6,260,834,709",151.50,153.00,148.50,149.00,-1.50,"14,902"
104/03/03,"29,205,565","4,374,634,250",150.00,151.00,148.50,150.50,+1.50,"10,700"
104/03/04,"32,781,813","4,936,813,407",150.00,151.50,149.00,150.50, 0.00,"9,519"
104/03/05,"29,851,795","4,474,822,250",150.00,151.00,148.50,150.00,-0.50,"8,059"
104/03/06,"33,211,114","4,948,740,906",149.00,149.50,148.50,149.00,-1.00,"9,540"
104/03/09,"67,545,510","9,855,160,676",147.50,147.50,145.00,145.50,-3.50,"21,963"
104/03/10,"46,859,211","6,762,792,095",145.00,145.00,144.00,144.00,-1.50,"17,451"
104/03/11,"51,828,263","7,572,305,994",143.50,148.00,143.00,146.00,+2.00,"14,996"
104/03/12,"32,364,794","4,785,611,312",147.00,148.50,146.50,148.00,+2.00,"10,987"
104/03/13,"46,407,830","6,904,477,410",148.00,149.50,147.00,149.00,+1.00,"12,528"
104/03/16,"37,462,553","5,514,486,291",149.00,149.50,146.00,146.00,-3.00,"10,187"
104/03/17,"55,770,359","8,326,102,991",148.50,150.00,148.50,149.00,+3.00,"16,064"
104/03/18,"71,220,784","10,852,430,499",151.00,154.00,150.00,153.50,+4.50,"24,516"
104/03/19,"43,512,703","6,700,872,109",152.50,155.00,152.50,154.00,+0.50,"14,822"
104/03/20,"38,594,575","5,909,217,707",151.50,154.00,151.50,154.00, 0.00,"8,722"
104/03/23,"26,369,028","4,049,600,743",154.00,154.00,152.50,153.50,-0.50,"8,438"
104/03/24,"38,207,799","5,811,312,948",153.50,153.50,151.50,151.50,-2.00,"9,866"
104/03/25,"50,140,683","7,584,239,053",152.00,152.50,150.50,151.00,-0.50,"8,084"
104/03/26,"162,835,475","23,745,941,540",145.50,147.00,144.50,145.50,-5.50,"40,030"
104/03/27,"112,919,978","16,228,885,022",144.00,145.50,142.50,142.50,-3.00,"31,660"
104/03/30,"64,898,228","9,275,490,102",142.50,144.00,142.00,142.50, 0.00,"20,026"
104/03/31,"56,918,778","8,225,648,688",144.00,145.50,143.00,145.50,+3.00,"14,570"
104/04/01,"39,056,191","5,643,680,541",145.00,145.00,143.50,144.00,-1.50,"11,700"
104/04/02,"52,174,388","7,651,261,176",145.00,148.00,144.50,147.00,+3.00,"15,545"
104/04/07,"34,901,698","5,106,814,058",146.50,147.50,145.00,146.00,-1.00,"9,240"
104/04/08,"49,474,198","7,132,875,065",145.50,146.00,143.00,143.00,-3.00,"14,640"
104/04/09,"47,243,108","6,801,837,297",144.00,145.50,143.00,143.00, 0.00,"14,341"
104/04/10,"33,908,579","4,948,520,786",146.00,147.00,145.00,147.00,+4.00,"13,442"
104/04/13,"26,427,202","3,876,943,634",146.50,147.50,146.00,147.00, 0.00,"10,892"
104/04/14,"41,702,197","6,021,009,775",145.00,145.50,143.50,144.00,-3.00,"15,801"
104/04/15,"71,626,316","10,214,833,004",143.50,144.50,141.50,143.00,-1.00,"24,704"
104/04/16,"55,563,272","8,114,893,484",145.00,147.00,144.50,147.00,+4.00,"20,084"
104/04/17,"79,007,681","11,301,095,708",143.00,144.00,142.50,142.50,-4.50,"29,078"
104/04/20,"43,593,805","6,220,438,078",142.00,144.00,141.50,143.00,+0.50,"9,856"
104/04/21,"40,892,605","5,824,163,035",142.00,143.50,141.50,142.50,-0.50,"10,238"
104/04/22,"40,631,875","5,844,788,500",143.50,145.00,143.00,143.50,+1.00,"12,231"
104/04/23,"47,851,742","7,010,815,563",145.50,147.00,145.00,147.00,+3.50,"18,425"
104/04/24,"135,458,464","20,467,883,674",149.00,152.50,148.50,152.50,+5.50,"35,056"
104/04/27,"58,112,934","8,802,544,948",153.00,153.00,150.00,151.50,-1.00,"14,169"
104/04/28,"43,295,538","6,563,481,738",153.50,153.50,150.50,151.50, 0.00,"12,673"
104/04/29,"37,440,139","5,582,483,598",150.00,151.00,148.00,148.50,-3.00,"11,220"
104/04/30,"48,982,979","7,212,381,413",147.00,148.50,146.50,147.00,-1.50,"13,793"
104/05/04,"30,868,640","4,548,281,580",148.50,148.50,146.00,147.50,+0.50,"8,598"
104/05/05,"27,789,400","4,083,589,300",147.50,148.00,146.00,147.00,-0.50,"6,502"
104/05/06,"18,824,208","2,765,471,076",145.50,148.00,145.50,147.50,+0.50,"6,477"
104/05/07,"21,908,150","3,209,664,442",146.00,147.50,146.00,146.50,-1.00,"5,816"
104/05/08,"20,035,646","2,938,305,595",146.00,147.50,146.00,146.50, 0.00,"7,730"
104/05/11,"20,402,529","3,020,441,292",149.00,149.00,147.00,148.50,+2.00,"6,385"
104/05/12,"24,956,498","3,687,151,073",147.00,148.50,147.00,147.50,-1.00,"6,593"
104/05/13,"19,437,537","2,880,697,082",147.50,149.00,147.00,148.00,+0.50,"5,694"
104/05/14,"39,888,654","5,860,602,872",148.00,148.50,146.00,146.00,-2.00,"12,300"
104/05/15,"24,831,890","3,627,515,848",147.00,147.00,145.00,146.50,+0.50,"8,186"
104/05/18,"26,212,375","3,823,751,806",147.00,147.00,145.00,146.50, 0.00,"7,178"
104/05/19,"26,321,396","3,852,118,475",145.50,147.50,145.00,146.50, 0.00,"9,418"
104/05/20,"26,984,912","3,949,956,564",146.50,147.00,146.00,146.50, 0.00,"10,516"
104/05/21,"41,286,686","5,995,895,156",146.00,146.50,144.50,145.50,-1.00,"12,871"
104/05/22,"22,103,852","3,229,666,392",146.00,147.00,145.00,145.50, 0.00,"6,813"
104/05/25,"16,323,218","2,396,692,046",146.50,147.50,145.50,147.50,+2.00,"5,998"
104/05/26,"16,069,726","2,368,218,823",148.50,148.50,146.50,146.50,-1.00,"6,148"
104/05/27,"24,257,941","3,536,266,849",145.50,147.00,145.00,145.00,-1.50,"6,869"
104/05/28,"36,704,395","5,388,568,653",147.00,147.50,146.00,147.00,+2.00,"10,259"
104/05/29,"61,983,862","9,053,910,953",147.00,147.50,145.50,146.00,-1.00,"8,252"
104/06/01,"31,646,861","4,585,709,246",145.50,146.00,144.00,145.00,-1.00,"9,735"
104/06/02,"33,433,403","4,812,699,032",144.50,144.50,143.50,144.00,-1.00,"10,752"
104/06/03,"30,174,690","4,333,388,014",143.50,144.50,143.00,143.00,-1.00,"7,788"
104/06/04,"62,313,192","8,793,986,209",142.00,142.50,140.00,141.00,-2.00,"17,920"
104/06/05,"42,846,692","5,990,378,661",139.50,140.50,139.00,140.00,-1.00,"13,335"
104/06/08,"45,637,640","6,346,411,738",139.50,140.00,138.50,138.50,-1.50,"17,131"
104/06/09,"31,663,811","4,410,907,091",138.50,140.00,138.00,139.00,+0.50,"10,951"
104/06/10,"37,243,196","5,235,873,213",141.00,141.50,139.50,139.50,+0.50,"11,225"
104/06/11,"46,455,780","6,630,323,144",141.00,144.00,141.00,143.50,+4.00,"15,700"
104/06/12,"35,243,603","5,072,826,832",144.00,144.50,142.50,144.50,+1.00,"9,645"
104/06/15,"23,775,780","3,409,554,790",144.50,144.50,142.50,143.00,-1.50,"7,385"
104/06/16,"28,696,598","4,063,948,476",143.00,143.00,141.00,142.00,-1.00,"11,387"
104/06/17,"31,675,566","4,518,862,957",143.00,143.50,142.00,142.50,+0.50,"8,595"
104/06/18,"28,627,136","4,072,821,812",142.00,143.00,142.00,142.00,-0.50,"5,820"
104/06/22,"29,598,804","4,224,036,248",142.00,143.50,142.00,142.00, 0.00,"8,985"
104/06/23,"37,809,098","5,454,961,112",143.00,145.00,142.50,144.50,+2.50,"11,319"
104/06/24,"21,134,324","3,054,456,980",144.50,145.00,143.50,145.00,+0.50,"7,362"
104/06/25,"45,571,067","6,670,295,223",145.00,147.00,145.00,146.50,+1.50,"11,443"
104/06/26,"34,170,981","4,994,996,846",147.00,147.50,145.50,146.00,-0.50,"10,199"
104/06/29,"53,096,169","7,415,992,660",140.50,141.00,138.50,138.50,X0.00,"20,523"
104/06/30,"45,375,815","6,336,988,915",139.00,140.50,138.50,140.50,+2.00,"15,871"
104/07/01,"33,330,373","4,704,327,416",140.00,142.50,139.00,141.00,+0.50,"9,303"
104/07/02,"24,309,420","3,434,751,403",140.50,142.00,140.50,141.50,+0.50,"6,836"
104/07/03,"17,091,230","2,414,975,440",141.50,142.50,140.00,142.50,+1.00,"6,179"
104/07/06,"20,683,912","2,913,509,592",141.00,141.50,140.50,140.50,-2.00,"7,067"
104/07/07,"26,545,982","3,750,582,962",141.00,142.00,140.50,140.50, 0.00,"8,780"
104/07/08,"52,066,084","7,229,638,176",140.50,141.00,138.00,138.00,-2.50,"15,496"
104/07/09,"53,784,773","7,323,598,974",134.00,138.00,134.00,136.50,-1.50,"12,715"
104/07/13,"35,404,791","4,886,264,549",137.00,139.50,137.00,138.50,+2.00,"11,386"
104/07/14,"27,574,220","3,833,141,080",139.50,140.50,138.00,138.50, 0.00,"7,319"
104/07/15,"23,485,780","3,254,659,920",139.00,139.50,138.00,138.50, 0.00,"8,278"
104/07/16,"37,250,129","5,121,828,673",140.00,140.00,135.50,136.50,-2.00,"11,167"
104/07/17,"55,848,153","7,769,816,420",138.00,140.00,138.00,140.00,+3.50,"14,284"
104/07/20,"27,906,576","3,902,530,824",141.50,142.00,138.50,139.00,-1.00,"11,095"
104/07/21,"21,857,010","3,068,308,230",141.00,141.50,139.50,140.50,+1.50,"5,806"
104/07/22,"27,408,864","3,802,971,061",139.00,139.50,138.00,139.00,-1.50,"9,026"
104/07/23,"38,176,255","5,216,033,345",137.00,137.50,136.00,136.00,-3.00,"11,509"
104/07/24,"39,062,686","5,342,465,602",138.00,138.00,136.00,137.00,+1.00,"10,517"
104/07/27,"45,080,466","6,060,338,122",135.00,135.50,134.00,134.00,-3.00,"13,816"
104/07/28,"35,777,744","4,833,495,065",135.00,136.50,134.00,134.00, 0.00,"9,966"
104/07/29,"30,500,205","4,119,983,712",135.00,136.00,134.50,135.50,+1.50,"7,453"
104/07/30,"37,085,996","5,121,289,968",136.00,139.00,136.00,138.50,+3.00,"10,767"
104/07/31,"40,479,318","5,626,919,922",140.50,140.50,137.50,139.50,+1.00,"9,383"
104/08/03,"33,815,561","4,581,161,735",138.50,138.50,134.50,134.50,-5.00,"12,990"
104/08/04,"27,514,927","3,727,032,372",135.00,136.50,134.50,136.50,+2.00,"8,099"
104/08/05,"28,577,967","3,847,991,545",135.50,135.50,134.00,134.00,-2.50,"9,154"
104/08/06,"39,658,057","5,305,805,578",136.00,136.00,132.00,134.00, 0.00,"13,110"
104/08/07,"30,591,687","4,053,463,871",133.00,133.50,131.50,133.00,-1.00,"11,911"
104/08/10,"65,582,829","8,428,219,770",131.00,131.00,125.50,129.00,-4.00,"23,713"
104/08/11,"65,988,387","8,701,858,164",133.50,133.50,130.50,130.50,+1.50,"18,947"
104/08/12,"45,838,052","5,897,521,548",129.50,130.00,127.50,128.50,-2.00,"12,740"
104/08/13,"43,697,151","5,611,218,672",129.00,130.00,127.50,128.00,-0.50,"11,405"
104/08/14,"40,366,795","5,093,780,530",128.00,128.50,125.00,126.00,-2.00,"13,469"
104/08/17,"38,956,377","4,826,111,748",125.50,125.50,123.00,124.00,-2.00,"14,068"
104/08/18,"41,823,656","5,252,723,656",125.00,126.50,125.00,126.00,+2.00,"11,837"
104/08/19,"47,213,363","5,917,827,915",127.50,127.50,124.00,125.00,-1.00,"11,362"
104/08/20,"38,767,923","4,841,207,748",124.50,126.00,123.50,126.00,+1.00,"8,015"
104/08/21,"67,341,681","8,241,493,111",123.00,124.50,121.00,121.00,-5.00,"15,912"
104/08/24,"118,882,318","13,766,338,730",120.00,121.00,112.50,115.00,-6.00,"25,681"
104/08/25,"99,479,290","12,096,689,497",118.00,124.00,117.50,123.50,+8.50,"27,240"
104/08/26,"65,899,783","8,066,184,686",121.00,124.50,119.50,122.50,-1.00,"17,863"
104/08/27,"53,549,076","6,648,501,174",125.00,125.00,122.00,124.00,+1.50,"14,964"
104/08/28,"41,879,827","5,251,054,885",127.00,127.00,124.50,125.00,+1.00,"12,018"
104/08/31,"57,088,355","7,220,131,440",126.00,129.00,123.50,129.00,+4.00,"12,112"
104/09/01,"42,394,536","5,307,014,000",127.50,127.50,124.00,124.00,-5.00,"14,184"
104/09/02,"37,232,124","4,657,522,507",123.00,127.00,123.00,125.50,+1.50,"12,205"
104/09/03,"24,054,041","3,037,526,707",127.50,127.50,125.00,127.00,+1.50,"7,059"
104/09/04,"23,047,166","2,886,200,250",126.50,127.00,123.50,125.00,-2.00,"8,111"
104/09/07,"26,152,920","3,228,675,340",124.50,126.00,122.00,122.50,-2.50,"10,743"
104/09/08,"15,112,954","1,857,557,798",122.50,123.50,122.00,123.00,+0.50,"5,645"
104/09/09,"53,969,621","6,910,196,909",126.50,129.00,126.50,129.00,+6.00,"19,715"
104/09/10,"34,029,707","4,288,394,042",127.00,128.00,125.00,125.00,-4.00,"10,207"
104/09/11,"24,548,989","3,097,236,675",125.50,127.50,124.00,127.50,+2.50,"7,250"
104/09/14,"25,582,357","3,261,310,994",128.00,129.00,126.00,127.50, 0.00,"8,062"
104/09/15,"22,223,400","2,806,493,840",127.50,128.00,125.50,126.00,-1.50,"7,271"
104/09/16,"44,137,380","5,691,421,260",128.00,130.00,127.50,129.50,+3.50,"14,052"
104/09/17,"52,529,479","6,868,009,789",130.50,131.50,130.00,131.00,+1.50,"16,702"
104/09/18,"32,590,064","4,261,707,884",129.50,131.50,129.00,131.50,+0.50,"7,572"
104/09/21,"35,271,713","4,552,208,310",130.00,130.00,128.50,129.50,-2.00,"7,636"
